Programme,ML,IR,Statistics,Databases,Gender,Chocolate,Neighbors,Stand-up,Stress-level,Random-number,Time2bed,Age
CLS,yes,0,mu,ja,male,neither,2,no,69,4729264827364547292736464629,02:00:00,23
CS,yes,0,mu,ja,female,fat,2,no,77,77,,23
CS,yes,1,mu,ja,male,fat,0,unknown,32,41,23:00:00,27
BA,yes,1,mu,ja,female,neither,0,no,40,2,00:37:00,24
CS,yes,0,mu,nee,female,fat,0,no,45,12,,unknown
AI,no,0,mu,ja,male,fat,1,no,5,4,,22
AI,yes,1,mu,ja,male,fat,0,no,10,13,,28
AI,no,unknown,mu,ja,male,unknown,0,no,33,unknown,,29
CS,yes,0,unknown,nee,male,fat,0,no,30,11,00:30:00,23
CS,yes,0,mu,ja,male,fat,0,yes,50,122,02:00:00,unknown
CLS,no,0,mu,ja,male,neither,0,no,10,37,,unknown
AI,yes,1,mu,nee,male,unknown,0,no,70,7,,24
Others,yes,0,unknown,nee,male,fat,4,no,30,5,,27
AI,no,0,mu,nee,male,fat,0,no,33,2,00:30:00,unknown
AI,yes,1,mu,ja,female,neither,0,no,81,4,03:00:00,22
CS,yes,0,sigma,ja,male,unknown,0,unknown,10,696787687687687,05:00:00,unknown
AI,yes,0,mu,ja,female,slim,0,yes,unknown,unknown,02:00:00,26
Others,yes,1,mu,ja,male,neither,0,no,0,10,,unknown
CLS,yes,0,sigma,nee,male,fat,2,yes,19,27,,27
CS,yes,0,mu,nee,male,neither,5,no,50,8,01:00:00,25
AI,yes,1,mu,ja,male,fat,1,no,10,6,00:15:00,23
AI,yes,1,sigma,ja,male,neither,0,no,100,69,,30
CS,no,0,mu,unknown,male,slim,2,no,80,333,01:00:00,25
CS,yes,1,mu,ja,male,fat,2,no,80,10,,24
CS,yes,0,mu,nee,female,neither,1,no,0,5,:),25
CLS,no,unknown,mu,ja,female,neither,0,no,30,34567,,23
QRM,no,0,mu,nee,male,unknown,8,no,69,6665437996,,unknown
AI,no,0,mu,nee,male,slim,unknown,yes,80,6,01:00:00,unknown
AI,yes,1,mu,ja,male,neither,0,no,5,unknown,,unknown
AI,yes,0,mu,nee,male,neither,4,no,80,9,21:00:00,33
CS,yes,1,mu,ja,male,neither,0,no,25,42,00:15:00,24
BA,yes,1,mu,ja,female,neither,1,no,80,7,,unknown
CLS,no,0,mu,ja,male,neither,1,yes,12,10,01:30:00,unknown
AI,yes,0,mu,nee,male,fat,2,no,30,5,01:00:00,unknown
CS,yes,1,mu,ja,others,slim,8,unknown,100,83947,,unknown
Others,yes,0,mu,ja,female,neither,1,no,25,8,,23
AI,yes,0,mu,ja,female,slim,2,yes,30,32,03:00:00,unknown
CS,no,1,mu,ja,male,neither,3,no,75,6,,unknown
CLS,no,1,mu,nee,female,unknown,6,unknown,70,56,,26
AI,no,0,mu,nee,female,unknown,8,unknown,30,8,,24
AI,no,0,mu,nee,female,fat,unknown,no,99,9,,26
CLS,no,0,mu,nee,female,neither,3,unknown,30,7,00:30:00,unknown
Others,yes,0,mu,nee,female,neither,1,yes,15,42,02:00:00,24
CLS,no,0,mu,ja,female,neither,0,no,70,53,23:00:00,26
